English;Reading;Image;
space;うちゅう;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYo9kkF-cY6bn0rYrJ7Do_YrHucJGGiXIaUA&s;
astronaut;うちゅうひこうし;https://upload.wikimedia.org/wikipedia/commons/e/e3/Aldrin_Apollo_11_cropped.jpg;
star;ほし;https://static.scientificamerican.com/dam/m/1299c71322768b82/original/star_tyc_3203-450-1_in_lacerta_lizard_constellation.jpg?m=1747336540.73&w=1350;
constellation;せいざ;https://www.stelvision.com/astro/wp-content/uploads/2018/06/01_general-1.jpg ;
planet;わくせい;https://upload.wikimedia.org/wikipedia/commons/c/cf/Planet_collage_to_scale.jpg;
galaxy;ぎんがけい;https://upload.wikimedia.org/wikipedia/commons/c/c3/NGC_4414_%28NASA-med%29.jpg;
Milky Way / Silvery River;あまのがわ;https://assets.science.nasa.gov/dynamicimage/assets/science/psd/solar/2023/09/s/ssc2008-10b1.jpg?w=5600&h=5600&fit=clip&crop=faces%2Cfocalpoint;
Sun;たいよう;https://th-thumbnailer.cdn-si-edu.com/TFcOPfLivDGwBrojlhuhM_1D2jU=/1024x684/filters:no_upscale():focal(512x512:513x513)/https://tf-cmsv2-smithsonianmag-media.s3.amazonaws.com/filer_public/76/a2/76a24f25-a130-4738-93c7-55bf56c65a87/nasa_sun.jpeg;
Moon;つき, ムーン;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/FullMoon2010.jpg/1920px-FullMoon2010.jpg;
Mercury;すいせい;https://upload.wikimedia.org/wikipedia/commons/4/4a/Mercury_in_true_color.jpg;
Venus;きんせい;https://upload.wikimedia.org/wikipedia/commons/c/c7/PIA23791-Venus-RealAndEnhancedContrastViews-20200608_%28cropped%29.jpg;
Earth;ちきゅう;https://upload.wikimedia.org/wikipedia/commons/7/70/The_Blue_Marble%2C_AS17-148-22727.jpg;
Mars;かせい;https://upload.wikimedia.org/wikipedia/commons/0/0c/Mars_-_August_30_2021_-_Flickr_-_Kevin_M._Gill.png;
Jupiter;もくせい;https://upload.wikimedia.org/wikipedia/commons/e/e2/Jupiter_OPAL_2024.png;
Saturn;どせい;https://upload.wikimedia.org/wikipedia/commons/c/c7/Saturn_during_Equinox.jpg;
Uranus;てんのうせい;https://upload.wikimedia.org/wikipedia/commons/6/69/Uranus_Voyager2_color_calibrated.png;
Neptune;かいおうせい;https://upload.wikimedia.org/wikipedia/commons/b/b9/Neptune_Voyager2_color_calibrated.png;
Pluto;めいおうせい;https://upload.wikimedia.org/wikipedia/commons/e/ef/Pluto_in_True_Color_-_High-Res.jpg;
comet;すいせい;https://upload.wikimedia.org/wikipedia/commons/b/ba/Comet_Hale-Bopp_1995O1.jpg;